# CMD number, timeout, parm1, parm2 parm3, some text thing,
0.000000,15.000000,8.000000,2.000000,0.000000,""

1.000000,10.000000,-60.000000,30.000000,0.000000,""

9.000000,10.000000,0.000000,0.000000,0.000000,""

0.000000,15.000000,1.000000,2.000000,0.000000,""

4.000000,2.000000,0.000000,0.000000,0.000000,""

0.000000,10.000000,-3.000000,2.000000,0.000000,""

5.000000,10.000000,0.000000,0.000000,0.000000,""

1.000000,10.000000,60.000000,30.000000,0.000000,""

0.000000,15.000000,12.000000,3.000000,0.000000,""

1.000000,10.000000,50.000000,20.000000,0.000000,""

7.000000,10.000000,0.000000,0.000000,0.000000,""

0.000000,10.000000,3.500000,2.000000,0.000000,""

#
