# CMD number, timeout, parm1, parm2 parm3, some text thing,
32.000000,5.000000,15.000000,120.000000,0.200000,"ElevL2"
25.000000,2.000000,0.000000,0.000000,0.000000,""
18.000000,0.000000,0.000000,0.000000,0.000000,""
31.000000,2.000000,0.000000,0.000000,0.000000,""
32.000000,5.000000,16.000000,234.000000,0.100000,"ElevSource"
23.000000,1.500000,0.000000,0.000000,0.000000,""
16.000000,0.000000,0.000000,0.000000,0.000000,""
31.000000,5.000000,0.000000,0.000000,0.000000,""
32.000000,4.500000,17.000000,0.000000,0.100000,"ElevL2"
25.000000,1.500000,0.000000,0.000000,0.000000,""
18.000000,0.000000,0.000000,0.000000,0.000000,""
31.000000,2.000000,0.000000,0.000000,0.000000,""
0.000000,2.000000,-2.000000,2.000000,0.000000,""
4.000000,20.000000,0.000000,0.000000,0.000000,""
#
